GENE_ID	A498	A549	ACHN	BT549	CAKI1	COLO205	DU145	EKVX	HCT116	HCT15	HL60	HOP62	HOP92	HS578T	HT29	IGROV1	K562	KM12	LOXIMVI	MCF7	MDAMB435	NCIH226	NCIH322T	NCIH460	NCIH522	OVCAR4	OVCAR5	OVCAR8	PC3	RPMI8226	SF268	SF539	SKMEL2	SKMEL28	SKMEL5	SKOV3	SR	SW620	T47D	TK10	UACC257	X786O
ENSG00000000003	16468	25062	97496	237260	122520	2082000	23668	0	0	4866.6	0	0	339230	0	355780	10197	0	48945	0	305360	18347	93014	98374	197410	358520	733360	323330	63971	47908	4612.2	40369	219490	36748	30758	525150	205880	101020	63360	0	11040	2072800	15655
ENSG00000000419	6915700	4038100	1500000	7289200	4171200	39862000	5864700	780570	22560	814660	4659200	1222200	6537100	2939600	4577300	2401500	2167100	1762800	2295800	4489000	7592800	4984400	1035500	6344800	1471900	9046600	6610500	3913700	7870800	10024000	4240700	1966000	2282500	588990	3934200	5880800	7713600	7503900	7896900	2388300	5871200	158690
ENSG00000000457	24927	9423.9	6312.2	0	8398.2	1608200	90735	20391	3652.7	9969.1	0	10100	18071	14581	49262	51665	0	0	3154	19384	0	8879.1	0	88865	18186	62910	0	8884.4	37696	32517	0	5779.1	0	22312	94604	26081	22486	15153	51189	5728.6	0	17622
ENSG00000000460	0	0	0	0	0	359030	0	2324.3	0	0	0	481.64	0	0	3218.7	20701	0	0	0	0	0	9789.6	0	39087	0	21724	0	0	0	0	0	0	0	9272.2	17844	0	5185.7	0	0	12948	0	0
ENSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001036	365990	33868	426630	302410	783400	3489100	256520	93710	9549.4	310990	876310	15673	3444800	247120	248840	54550	26600	133930	130370	699040	213020	781240	846230	690080	3977.5	805920	1858700	583980	232650	31299	392850	878940	59092	169370	866200	377790	610250	506180	339700	76990	1683000	251220
ENSG00000001084	1048900	5418200	240910	200820	244010	33959000	4738300	105310	703280	74349	1268200	25521	698640	110710	712730	113090	154660	364670	34298	1587500	377850	694400	396530	2688400	380660	539650	62924	970860	1933700	1223400	1254500	185870	57513	20988	1211200	623760	270720	1239100	283600	239440	740670	191610
ENSG00000001167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	704170	0	0	0	0	1135800	164370	0	0	0	0	0	0	0	0	0	0
ENSG00000001497	5313.6	10129	8730.2	15670	38089	4803600	7946.3	0	23845	8368	0	0	184270	15145	51813	0	138880	51258	0	142080	5952.5	38737	0	96719	16812	84172	0	5413.2	99667	181980	240190	64758	1927.6	0	54247	24683	41622	11820	27417	4151.9	673940	0
ENSG00000001561	46757	151340	289570	136420	40769	184480	207720	61368	74573	48600	100620	40040	5721	0	45379	358240	0	34900	254860	348540	9574.8	131380	198630	15680	91133	0	730740	130460	38122	52370	182860	290240	18340	0	194050	0	39870	0	219810	81786	277080	0
