Prot_id	Gene_id	X786O	A498	A549	ACHN	BT549	Caki1	CCRFCEM	COLO205	DU145	EKVX	NCIH226	NCIH23	NCIH322T	NCIH460	NCIH522	HCC2998	HCT116	HCT15	HL60	HOP62	HOP92	Hs578T	HT29	IGROV1	K562	KM12	LOXIMVI	M14	MALME3M	MCF7	MCF71	MDAMB231	MDAMB435	MOLT4	OVCAR3	OVCAR4	OVCAR5	OVCAR8	PC3	RPMI8226	RXF393	SF268	SF295	SF539	SKMEL2	SKMEL28	SKMEL5	SKOV3	SN12C	SNB19	SNB75	SR	SW620	T47D	TK10	U251MG	UACC257	UACC62	UO31
O43657;A0A087WZU5;A0A087WYV6	ENSG00000000003	15655	16468	25062	97496	237260	122520	13291	2082000	23668	0	93014	17936	98374	197410	358520	17907	0	4866.6	0	0	339230	0	355780	10197	0	48945	0	414480	35056	305360	32963	44598	18347	0	67265	733360	323330	63971	47908	4612.2	76054	40369	148400	219490	36748	30758	525150	205880	161480	303010	9455.4	101020	63360	0	11040	112510	2072800	238110	64520
Q5QPK2;H0Y368;O60762	ENSG00000000419	158690	6915700	4038100	1500000	7289200	4171200	11901000	39862000	5864700	780570	4984400	1383900	1035500	6344800	1471900	2167000	22560	814660	4659200	1222200	6537100	2939600	4577300	2401500	2167100	1762800	2295800	16415000	1868000	4489000	8098800	9730800	7592800	4092600	3791400	9046600	6610500	3913700	7870800	10024000	8463600	4240700	4458800	1966000	2282500	588990	3934200	5880800	2212800	8274100	1402100	7713600	7503900	7896900	2388300	8403500	5871200	16467000	1486200
X6RHX1;Q8IZE3-2;Q8IZE3	ENSG00000000457	17622	24927	9423.9	6312.2	0	8398.2	134890	1608200	90735	20391	8879.1	7920.6	0	88865	18186	40810	3652.7	9969.1	0	10100	18071	14581	49262	51665	0	0	3154	163640	4645.7	19384	69119	22723	0	0	0	62910	0	8884.4	37696	32517	41068	0	4604.2	5779.1	0	22312	94604	26081	18158	0	8561.1	22486	15153	51189	5728.6	57915	0	34135	2122
Q9NSG2-3;Q9NSG2-2;Q9NSG2	ENSG00000000460	0	0	0	0	0	0	73073	359030	0	2324.3	9789.6	0	0	39087	0	0	0	0	0	481.64	0	0	3218.7	20701	0	0	0	0	12566	0	0	13095	0	0	0	21724	0	0	0	0	13677	0	20853	0	0	9272.2	17844	0	9917.1	37652	0	5185.7	0	0	12948	0	0	0	25061
P09769;Q5TGY6	ENSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BTY2	ENSG00000001036	251220	365990	33868	426630	302410	783400	313250	3489100	256520	93710	781240	93451	846230	690080	3977.5	3129600	9549.4	310990	876310	15673	3444800	247120	248840	54550	26600	133930	130370	474500	1056100	699040	456660	577920	213020	11026	50058	805920	1858700	583980	232650	31299	985110	392850	276610	878940	59092	169370	866200	377790	73681	626760	133330	610250	506180	339700	76990	561570	1683000	665800	455470
P48506;E1CEI4	ENSG00000001084	191610	1048900	5418200	240910	200820	244010	1635000	33959000	4738300	105310	694400	307410	396530	2688400	380660	1879600	703280	74349	1268200	25521	698640	110710	712730	113090	154660	364670	34298	357080	59420	1587500	553840	211970	377850	1375100	32095	539650	62924	970860	1933700	1223400	415780	1254500	282090	185870	57513	20988	1211200	623760	833080	377930	73803	270720	1239100	283600	239440	722720	740670	443090	107210
P23511-2;P23511	ENSG00000001167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5678000	0	0	0	0	0	0	0	704170	0	0	0	0	0	1135800	0	164370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y4W2-2;Q9Y4W2;Q9Y4W2-3	ENSG00000001497	0	5313.6	10129	8730.2	15670	38089	25825	4803600	7946.3	0	38737	8389.3	0	96719	16812	54047	23845	8368	0	0	184270	15145	51813	0	138880	51258	0	216810	18734	142080	30285	130790	5952.5	21076	21924	84172	0	5413.2	99667	181980	66866	240190	21057	64758	1927.6	0	54247	24683	248880	18871	6048.3	41622	11820	27417	4151.9	198280	673940	336490	5027.3
Q9Y6X5	ENSG00000001561	0	46757	151340	289570	136420	40769	113530	184480	207720	61368	131380	61463	198630	15680	91133	585160	74573	48600	100620	40040	5721	0	45379	358240	0	34900	254860	84636	22660	348540	76294	392910	9574.8	53783	28547	0	730740	130460	38122	52370	113840	182860	0	290240	18340	0	194050	0	5213	366640	81959	39870	0	219810	81786	191360	277080	12839	98255
A0A0C4DFL7;Q16850;Q16850-2	ENSG00000001630	1371100	934320	524770	2298400	733960	634950	1947800	5510900	3305100	729570	2552100	2042500	765610	4593200	1618200	7315800	31140	1438500	5619200	323790	11123000	2662900	2474500	399930	1378300	167530	1561000	14907000	5343200	2121400	5016200	1819800	982660	577510	368580	23054000	1886900	3240400	2156100	250220	2166100	1933500	879200	1851700	156640	753530	5770000	554830	1383300	5231200	1952700	3502500	1646900	547800	876690	1787800	10468000	5334000	1205700
O00522-3;O00522;O00522-2	ENSG00000001631	0	0	253770	0	0	2602.1	22308	5890.4	0	0	0	10623	5696.1	0	0	0	0	3382.6	0	3829.7	21978	0	0	0	0	4565.2	0	0	0	0	0	7397.8	10318	0	0	0	0	0	0	0	0	6560.4	0	0	0	0	0	0	0	0	0	0	0	0	3223	0	0	0	2488.6
Q92934	ENSG00000002330	0	291380	236160	0	423820	398080	1015300	39039	481520	0	611520	24345	242500	0	77252	79391	2042.3	22599	451750	0	1290000	183390	366480	0	110680	93822	349130	385740	161350	662780	753720	417050	37907	456520	393840	819850	113200	817080	295540	0	128130	633790	284340	79259	51471	0	0	290910	256630	441880	1416.1	368140	316970	446630	98972	241170	346940	158410	147530
P28838-2;P28838	ENSG00000002549	9147300	7194600	2122500	2326300	6469300	8795000	17310000	95425000	16110000	130650	5919800	7892800	17061000	7322700	2466400	8079800	1351600	2232600	21864000	1178900	12983000	1797100	10091000	4968700	6278800	3306900	1799900	20311000	5743400	9090700	9268900	8674600	7496300	10830000	1176000	7941700	10557000	6610400	13300000	21361000	24179000	16518000	4494100	6254200	1758800	561660	11981000	3452500	6581600	17155000	2468200	15660000	10877000	2801800	5863300	7090700	14186000	12787000	2910000
P14209;P14209-3;A0A096LP69	ENSG00000002586	736970	2264900	3115500	7534	141330	2808600	77012000	23885000	2316300	82551	14927000	46886	1200000	902550	668970	530750	5336.5	326160	0	2022.2	10859000	809160	29747	873170	0	825390	0	6701600	2547600	1736600	898320	71607	1517300	443850	210940	2290600	1160400	778570	4360400	3927100	6570600	5432600	3823100	3527900	1144200	0	1505800	316740	2486500	888750	563210	3434500	1519900	1352300	869670	1992300	0	116430	1074500
P19801;P19801-2;C9J2J4	ENSG00000002726	6172.1	0	62068	22007	15006	0	50019	1901000	16303	0	0	5488.2	0	4173.5	0	17784	0	0	123500	0	93776	0	37098	0	54980	6217.6	43908	30579	18221	0	13714	50775	30292	0	24152	41598	0	47564	110180	7391.8	33856	231160	22298	57723	0	0	42515	0	0	0	0	101750	0	25260	2302.2	70092	0	76170	37006
Q9Y6D9;Q9Y6D9-3	ENSG00000002822	272580	554550	881380	602470	933960	534610	1427500	3927000	712310	13120	1208000	179510	307760	1377800	995240	352680	38631	82279	898930	11297	1834900	575150	915740	293610	517430	617840	100240	5403000	571540	2629300	1131500	160510	68277	51582	179700	1355500	977240	871270	428370	435780	2155100	416360	388250	869480	265930	23951	1117800	429630	492030	943160	316430	537630	900490	189970	127090	1496100	2033400	911470	335180
Q14847;Q14847-2;C9J9W2;Q14847-3	ENSG00000002834	1048000	16512000	18181000	9200100	6104600	19145000	69233000	232830000	21104000	244630	24973000	5878800	5751900	11621000	9473100	8697600	375840	1411400	23719000	123660	27626000	6913400	36344000	2746400	14446000	20925000	8601400	60532000	5779600	23250000	6661000	38743000	3281000	600570	1696200	23979000	32589000	23946000	6087700	10057000	17970000	12713000	30793000	9366000	7130600	40656	2873600	11131000	12293000	16679000	12881000	10973000	61618000	26729000	8546300	11979000	18238000	14057000	12078000
Q9Y5W9-2;Q9Y5W9;J3QRB9;J3KTN6;J3QLV8	ENSG00000002919	0	0	42266	0	0	0	48862	17835	0	0	0	0	0	0	0	0	0	0	0	0	33921	0	21998	0	0	20835	0	0	0	0	127610	0	0	0	0	156940	0	0	140130	265990	0	0	122460	0	0	0	0	0	0	0	0	0	216120	0	0	0	0	0	0
